iz,z,r,xi
iz82,,0.75,3.381617750315967
iz82,,1.25,2.3047322637774768
iz82,,1.75,1.8621587263151522
iz82,,2.25,1.6362082664327213
iz82,,2.75,1.4925049064946199
iz82,,3.25,1.3907056622256653
iz82,,3.75,1.3120417017277366
iz82,,4.25,1.2533995389953654
iz82,,4.75,1.204332187050878
iz82,,5.25,1.164716508395971
iz82,,5.75,1.1348144893307335
iz82,,6.25,1.1090062725132581
iz82,,6.75,1.0871918403921672
iz82,,7.25,1.0700632249741429
iz82,,7.75,1.056263633569216
iz82,,8.25,1.044557377000807
iz82,,8.75,1.0355119765457022
iz82,,9.25,1.0281604831976228
iz82,,9.75,1.0231753740484586
iz82,,10.25,1.018624928574266
iz82,,10.75,1.0149058665292274
iz82,,11.25,1.0118183382862722
iz82,,11.75,1.0095573324003881
iz82,,12.25,1.0077379764233532
iz82,,12.75,1.0062829578182764
iz82,,13.25,1.0050064012697
iz82,,13.75,1.0041229750400495
iz82,,14.25,1.00312862431178
iz82,,14.75,1.0023780962002915
iz82,,15.25,1.00168327981412
iz82,,15.75,1.0012419499883964
iz82,,16.25,1.000775446265487
iz82,,16.75,1.0003131612136378
iz82,,17.25,1.0001084634781139
iz82,,17.75,0.9998961931433219
iz82,,18.25,0.9997662740766956
iz82,,18.75,0.9995373459646326
iz82,,19.25,0.999513692787141
iz82,,19.75,0.9993903440268119
iz100,,0.75,4.354308926007634
iz100,,1.25,2.946329514230909
iz100,,1.75,2.3695950004386765
iz100,,2.25,2.048420729710346
iz100,,2.75,1.8450279144014663
iz100,,3.25,1.7080284644440256
iz100,,3.75,1.6050426859351874
iz100,,4.25,1.529383273138841
iz100,,4.75,1.4680662407093494
iz100,,5.25,1.4089758611631176
iz100,,5.75,1.359480084780443
iz100,,6.25,1.3199877582063955
iz100,,6.75,1.2844201408441793
iz100,,7.25,1.2544435677678003
iz100,,7.75,1.2282548115609377
iz100,,8.25,1.2054985243759784
iz100,,8.75,1.1858047909982448
iz100,,9.25,1.1664264508307642
iz100,,9.75,1.1483624868492894
iz100,,10.25,1.1319845621280895
iz100,,10.75,1.1177222373649436
iz100,,11.25,1.103397690096001
iz100,,11.75,1.0900783098371234
iz100,,12.25,1.078688768191179
iz100,,12.75,1.069039933779279
iz100,,13.25,1.0600192537852722
iz100,,13.75,1.0521341631116623
iz100,,14.25,1.0449560423320363
iz100,,14.75,1.0383302948962112
iz100,,15.25,1.032791538794151
iz100,,15.75,1.0280019063119024
iz100,,16.25,1.023709982295875
iz100,,16.75,1.0198421233339157
iz100,,17.25,1.0164433771010757
iz100,,17.75,1.0135147572668732
iz100,,18.25,1.0109389571619722
iz100,,18.75,1.008681969388173
iz100,,19.25,1.0069087574646183
iz100,,19.75,1.0053975419178764
iz105,,0.75,2.5929512954092515
iz105,,1.25,1.8805433841301846
iz105,,1.75,1.602670803264315
iz105,,2.25,1.4513362022503586
iz105,,2.75,1.3581988812612669
iz105,,3.25,1.288726297800927
iz105,,3.75,1.2411352830014966
iz105,,4.25,1.2023146750149443
iz105,,4.75,1.1706660016964752
iz105,,5.25,1.1449229448128957
iz105,,5.75,1.1237695529604692
iz105,,6.25,1.1051964489003843
iz105,,6.75,1.090233809446091
iz105,,7.25,1.0777930631305692
iz105,,7.75,1.0679215518288854
iz105,,8.25,1.059399024243279
iz105,,8.75,1.0518065615693781
iz105,,9.25,1.0451694030890162
iz105,,9.75,1.03915035355704
iz105,,10.25,1.0340094766707204
iz105,,10.75,1.0291883917203228
iz105,,11.25,1.0248341519367592
iz105,,11.75,1.0214587589063535
iz105,,12.25,1.0185186808429227
iz105,,12.75,1.01597765071352
iz105,,13.25,1.013659999306103
iz105,,13.75,1.0116572388084848
iz105,,14.25,1.0100284368271448
iz105,,14.75,1.0084432779529389
iz105,,15.25,1.0071233290660329
iz105,,15.75,1.0058691504328554
iz105,,16.25,1.0048058670882967
iz105,,16.75,1.0039568306861397
iz105,,17.25,1.0032299680436905
iz105,,17.75,1.0024464596487617
iz105,,18.25,1.0017790489260638
iz105,,18.75,1.0011625782732023
iz105,,19.25,1.00076587566891
iz105,,19.75,1.000365302043223
iz120,,0.75,2.422817384007552
iz120,,1.25,1.7804748794705754
iz120,,1.75,1.5338301746813245
iz120,,2.25,1.3980166330854125
iz120,,2.75,1.3106707651464231
iz120,,3.25,1.251668491552654
iz120,,3.75,1.2108665833368444
iz120,,4.25,1.1772686095310874
iz120,,4.75,1.1503253246486624
iz120,,5.25,1.1271175065550059
iz120,,5.75,1.1079996844194797
iz120,,6.25,1.0924223780104705
iz120,,6.75,1.0793914952537893
iz120,,7.25,1.069079638750148
iz120,,7.75,1.0598839711760841
iz120,,8.25,1.0525013827035417
iz120,,8.75,1.0456420796832893
iz120,,9.25,1.0400096131583747
iz120,,9.75,1.0346744423695922
iz120,,10.25,1.0300413472251029
iz120,,10.75,1.026153439604547
iz120,,11.25,1.02284738481122
iz120,,11.75,1.0198671692782058
iz120,,12.25,1.017160787799009
iz120,,12.75,1.014817903182187
iz120,,13.25,1.0126927542685602
iz120,,13.75,1.0108179824659005
iz120,,14.25,1.009056339324545
iz120,,14.75,1.0077283079796766
iz120,,15.25,1.0066181950340056
iz120,,15.75,1.0056482872533803
iz120,,16.25,1.004762815769636
iz120,,16.75,1.0039595632219687
iz120,,17.25,1.003226545742309
iz120,,17.75,1.0025490577145908
iz120,,18.25,1.0020116499078469
iz120,,18.75,1.0017311243122806
iz120,,19.25,1.0013965214904161
iz120,,19.75,1.0012444858023497
iz142,,0.75,1.9681479668543058
iz142,,1.25,1.4756291442087712
iz142,,1.75,1.3128886490861267
iz142,,2.25,1.2313085080802302
iz142,,2.75,1.174042899046344
iz142,,3.25,1.136760025787174
iz142,,3.75,1.1091605066578032
iz142,,4.25,1.0883828704188723
iz142,,4.75,1.0711227681186852
iz142,,5.25,1.056887862505367
iz142,,5.75,1.0465009305398822
iz142,,6.25,1.0379726282026815
iz142,,6.75,1.0311944235315176
iz142,,7.25,1.026092483859518
iz142,,7.75,1.0216187606704712
iz142,,8.25,1.0182941462719433
iz142,,8.75,1.0153242731303798
iz142,,9.25,1.013006591143089
iz142,,9.75,1.0105520660313403
iz142,,10.25,1.0089863309497513
iz142,,10.75,1.007393780208796
iz142,,11.25,1.0060571262211295
iz142,,11.75,1.0047089788345467
iz142,,12.25,1.0038259579758209
iz142,,12.75,1.0030213533774337
iz142,,13.25,1.0024532284897874
iz142,,13.75,1.0018606694595253
iz142,,14.25,1.0014466220854588
iz142,,14.75,1.0010837469686673
iz142,,15.25,1.0008655745916628
iz142,,15.75,1.0007707515417625
iz142,,16.25,1.000650608400739
iz142,,16.75,1.0004848469007697
iz142,,17.25,1.0003504436614472
iz142,,17.75,1.0002252553688877
iz142,,18.25,1.000181686507115
iz142,,18.75,1.0002611825268277
iz142,,19.25,1.0002267291396387
iz142,,19.75,1.000137047831504
iz155,,0.75,2.86524946680186
iz155,,1.25,1.8081611022787494
iz155,,1.75,1.482214878262629
iz155,,2.25,1.3262978532872316
iz155,,2.75,1.2373002905120944
iz155,,3.25,1.1724425160914012
iz155,,3.75,1.1304252161659856
iz155,,4.25,1.0949867195829148
iz155,,4.75,1.0709114598198772
iz155,,5.25,1.0523466712242542
iz155,,5.75,1.0369827966351226
iz155,,6.25,1.0260164759098738
iz155,,6.75,1.0189158738766249
iz155,,7.25,1.0136811898139233
iz155,,7.75,1.009708609898902
iz155,,8.25,1.0070744946763144
iz155,,8.75,1.005300162105756
iz155,,9.25,1.0036416513148452
iz155,,9.75,1.001836299706303
iz155,,10.25,1.0008783766028841
iz155,,10.75,1.0001837081057199
iz155,,11.25,0.9997462445948568
iz155,,11.75,0.9995307112230288
iz155,,12.25,0.9991617497193128
iz155,,12.75,0.9988382849759394
iz155,,13.25,0.9986437011514309
iz155,,13.75,0.9985363878025535
iz155,,14.25,0.9984770020531097
iz155,,14.75,0.9984023951637041
iz155,,15.25,0.9983780174816393
iz155,,15.75,0.998470039384457
iz155,,16.25,0.9984951889220893
iz155,,16.75,0.9984966300704875
iz155,,17.25,0.9984891680168596
iz155,,17.75,0.9985101357791134
iz155,,18.25,0.9985065791641914
iz155,,18.75,0.9984756197019298
iz155,,19.25,0.9985405419673471
iz155,,19.75,0.9984989545575885
iz176,,0.75,3.1655186881577566
iz176,,1.25,1.8255716261455142
iz176,,1.75,1.46840898361098
iz176,,2.25,1.3051914131489266
iz176,,2.75,1.2076106856704136
iz176,,3.25,1.153196279279187
iz176,,3.75,1.1144957999584912
iz176,,4.25,1.0875718713987268
iz176,,4.75,1.063580764335165
iz176,,5.25,1.0478555022447509
iz176,,5.75,1.0361769392352527
iz176,,6.25,1.0281545757092718
iz176,,6.75,1.0210044171611186
iz176,,7.25,1.015538012197866
iz176,,7.75,1.0116885550766215
iz176,,8.25,1.0081740116715685
iz176,,8.75,1.0058623863019804
iz176,,9.25,1.004232763452277
iz176,,9.75,1.0028565278512853
iz176,,10.25,1.001991718309241
iz176,,10.75,1.0013471927752784
iz176,,11.25,1.0008565610962583
iz176,,11.75,1.0006096273044593
iz176,,12.25,1.0003517640414068
iz176,,12.75,1.0002722294482864
iz176,,13.25,1.0001588215341115
iz176,,13.75,1.0001467109098874
iz176,,14.25,1.0002054766765143
iz176,,14.75,1.0002717228946765
iz176,,15.25,1.000207307769005
iz176,,15.75,1.000227477402701
iz176,,16.25,1.000334609240426
iz176,,16.75,1.0004354236440385
iz176,,17.25,1.0002762937981853
iz176,,17.75,1.0001063249186477
iz176,,18.25,1.0000264079225458
iz176,,18.75,1.0000267095324078
iz176,,19.25,0.999949178003452
iz176,,19.75,0.9999290934724346
iz207,,0.75,5.268102513898115
iz207,,1.25,2.581397753564181
iz207,,1.75,1.7054427733189452
iz207,,2.25,1.3649287331160915
iz207,,2.75,1.214312431274063
iz207,,3.25,1.136731373371673
iz207,,3.75,1.0867582046324515
iz207,,4.25,1.056798279400255
iz207,,4.75,1.037339478298838
iz207,,5.25,1.024573455665651
iz207,,5.75,1.0141278636466737
iz207,,6.25,1.0070504583070539
iz207,,6.75,1.0035879562601018
iz207,,7.25,1.0016378268404094
iz207,,7.75,1.0007401625721577
iz207,,8.25,1.000189406386355
iz207,,8.75,0.9999533700311188
iz207,,9.25,0.9997778777799794
iz207,,9.75,0.999744249497098
iz207,,10.25,0.9996219128302427
iz207,,10.75,0.9997668320196633
iz207,,11.25,0.999709962598945
iz207,,11.75,0.9997946861600752
iz207,,12.25,0.9997126434591325
iz207,,12.75,0.9997408275489047
iz207,,13.25,0.9997938520066251
iz207,,13.75,0.9998901655051655
iz207,,14.25,0.9999917146501406
iz207,,14.75,1.0001283572642923
iz207,,15.25,0.9999407886542895
iz207,,15.75,0.9999486425020128
iz207,,16.25,0.9997750661650382
iz207,,16.75,0.9996061584229229
iz207,,17.25,0.9996462481138841
iz207,,17.75,0.9996529642345993
iz207,,18.25,0.9995655368582769
iz207,,18.75,0.9993672287494066
iz207,,19.25,0.9993830446000447
iz207,,19.75,0.9993739449199237
