iz,z,logM_center,median_logSFR,p16,p84
iz82,,8.1,-0.1410190314054489,-0.5130945944786072,0.11159135162830353
iz82,,8.299999999999999,-0.02771627902984619,-0.4942499721050262,0.2417778480052948
iz82,,8.499999999999998,0.09140436351299286,-0.43323162794113157,0.3620910286903381
iz82,,8.699999999999998,0.22638414800167084,-0.25065789341926575,0.47082438349723815
iz82,,8.899999999999997,0.25466805696487427,-0.29916709661483765,0.5830621695518493
iz82,,9.099999999999996,0.35673025250434875,-0.003841319456696522,0.6400325012207032
iz82,,9.299999999999995,0.41687774658203125,0.14540552914142613,0.783608787059784
iz82,,9.499999999999995,0.5717498064041138,0.20577072978019714,0.8385032558441162
iz82,,9.699999999999994,0.552839994430542,-0.016918001323938336,0.7813669872283936
iz82,,9.899999999999993,0.5998082756996155,-0.1798700660467148,0.8825067400932312
iz82,,10.099999999999993,0.9292336106300354,0.7849038648605347,1.1144902849197387
iz82,,10.299999999999992,0.6283128261566162,-0.06644608259201057,0.8770519018173217
iz82,,10.499999999999991,nan,nan,nan
iz82,,10.69999999999999,nan,nan,nan
iz82,,10.89999999999999,nan,nan,nan
iz82,,11.099999999999989,nan,nan,nan
iz82,,11.299999999999988,nan,nan,nan
iz82,,11.499999999999988,nan,nan,nan
iz82,,11.699999999999987,nan,nan,nan
iz82,,11.899999999999986,nan,nan,nan
iz82,,12.099999999999985,nan,nan,nan
iz82,,12.299999999999985,nan,nan,nan
iz100,,8.1,-0.40803903341293335,-0.9622717547416685,-0.05855788961052897
iz100,,8.299999999999999,-0.18805181980133057,-0.7973250150680542,0.09155509173870086
iz100,,8.499999999999998,-0.04599830508232117,-0.8472608160972595,0.25549784660339353
iz100,,8.699999999999998,0.1503692865371704,-0.43257236480712885,0.3782972514629364
iz100,,8.899999999999997,0.26486390829086304,-0.17637124359607698,0.5016197204589843
iz100,,9.099999999999996,0.38978147506713867,-0.25009081065654754,0.5983652997016906
iz100,,9.299999999999995,0.45763832330703735,-0.1935003942251205,0.7323687791824341
iz100,,9.499999999999995,0.5077821612358093,-0.14983298778533932,0.7889167189598083
iz100,,9.699999999999994,0.6533020734786987,0.1139168965816498,0.9323200702667236
iz100,,9.899999999999993,0.901583194732666,0.3793728470802307,1.0565781116485595
iz100,,10.099999999999993,0.9477524757385254,0.5931442475318909,1.1649831628799436
iz100,,10.299999999999992,0.7197015285491943,0.17216189324855807,1.135542106628418
iz100,,10.499999999999991,0.77309250831604,0.2623078382015228,1.1090112709999083
iz100,,10.69999999999999,nan,nan,nan
iz100,,10.89999999999999,nan,nan,nan
iz100,,11.099999999999989,nan,nan,nan
iz100,,11.299999999999988,nan,nan,nan
iz100,,11.499999999999988,nan,nan,nan
iz100,,11.699999999999987,nan,nan,nan
iz100,,11.899999999999986,nan,nan,nan
iz100,,12.099999999999985,nan,nan,nan
iz100,,12.299999999999985,nan,nan,nan
iz105,,8.1,-0.4665822982788086,-1.3633423471450792,-0.12176429510116578
iz105,,8.299999999999999,-0.2201867252588272,-0.7759043884277343,0.0923468741774559
iz105,,8.499999999999998,-0.06692017614841461,-0.8196134257316589,0.21770639598369598
iz105,,8.699999999999998,0.09656764566898346,-0.5228480362892151,0.35213055372238156
iz105,,8.899999999999997,0.24504916369915009,-0.37379767894744875,0.46396676898002626
iz105,,9.099999999999996,0.37959393858909607,-0.2388983356952667,0.5910877203941345
iz105,,9.299999999999995,0.4660301208496094,-0.03267159126698969,0.689555823802948
iz105,,9.499999999999995,0.5740267634391785,-0.019956751540303238,0.7958003640174866
iz105,,9.699999999999994,0.7171461582183838,0.20416937291622161,0.9299062132835388
iz105,,9.899999999999993,0.8700631856918335,0.27913229465484624,1.0435952568054199
iz105,,10.099999999999993,0.8738269805908203,0.38577926993370054,1.1394626379013062
iz105,,10.299999999999992,1.068781852722168,0.6800167179107666,1.2051322221755982
iz105,,10.499999999999991,0.5681467056274414,0.019764298796653826,1.0694917726516724
iz105,,10.69999999999999,-1.0931364297866821,-1.9982624530792237,-0.1880103766918183
iz105,,10.89999999999999,nan,nan,nan
iz105,,11.099999999999989,nan,nan,nan
iz105,,11.299999999999988,nan,nan,nan
iz105,,11.499999999999988,nan,nan,nan
iz105,,11.699999999999987,nan,nan,nan
iz105,,11.899999999999986,nan,nan,nan
iz105,,12.099999999999985,nan,nan,nan
iz105,,12.299999999999985,nan,nan,nan
iz120,,8.1,-0.6855250597000122,-2.719925117492676,-0.3780686557292938
iz120,,8.299999999999999,-0.47863391041755676,-2.5253145694732666,-0.1749553680419922
iz120,,8.499999999999998,-0.30199936032295227,-2.389670076370239,0.018355756998062144
iz120,,8.699999999999998,-0.11735754460096359,-2.1460262298583985,0.22531501650810243
iz120,,8.899999999999997,0.044488001614809036,-1.9187054204940797,0.37268563508987423
iz120,,9.099999999999996,0.22554373741149902,-1.1689566946029664,0.4987057876586914
iz120,,9.299999999999995,0.3320508897304535,-0.7020734310150146,0.6155995845794677
iz120,,9.499999999999995,0.4898650050163269,-0.2032886785268784,0.7556511521339416
iz120,,9.699999999999994,0.5621145367622375,-0.05504711657762527,0.8382656478881836
iz120,,9.899999999999993,0.7157151103019714,0.3225626885890961,0.9668526697158812
iz120,,10.099999999999993,0.8584496974945068,0.4301625072956085,1.073485803604126
iz120,,10.299999999999992,0.9693900942802429,0.5094497132301331,1.1728954219818115
iz120,,10.499999999999991,0.9596647620201111,0.30876008391380305,1.1780621957778932
iz120,,10.69999999999999,0.24099774658679962,-2.446174087524414,1.0547950553894043
iz120,,10.89999999999999,nan,nan,nan
iz120,,11.099999999999989,nan,nan,nan
iz120,,11.299999999999988,nan,nan,nan
iz120,,11.499999999999988,nan,nan,nan
iz120,,11.699999999999987,nan,nan,nan
iz120,,11.899999999999986,nan,nan,nan
iz120,,12.099999999999985,nan,nan,nan
iz120,,12.299999999999985,nan,nan,nan
iz142,,8.1,-0.9599834680557251,-3.612391986846924,-0.7201927661895752
iz142,,8.299999999999999,-0.7798765897750854,-3.449494047164917,-0.5210302877426147
iz142,,8.499999999999998,-0.6004970073699951,-3.3686963939666748,-0.30050283908843994
iz142,,8.699999999999998,-0.4315800070762634,-3.4397349166870117,-0.12256114989519121
iz142,,8.899999999999997,-0.2612270712852478,-3.2719692993164062,0.07826634615659714
iz142,,9.099999999999996,-0.08240701258182526,-2.8347694873809814,0.2519651889801024
iz142,,9.299999999999995,-0.001959096407517791,-2.5490988636016847,0.3909781622886658
iz142,,9.499999999999995,0.037966810166835785,-2.1093609523773194,0.565689616203308
iz142,,9.699999999999994,0.11123383045196533,-1.648216242790222,0.6884961724281311
iz142,,9.899999999999993,0.363785058259964,-0.8735594916343689,0.8412311720848084
iz142,,10.099999999999993,0.5575464963912964,-0.3265464329719543,0.9564950180053711
iz142,,10.299999999999992,0.8341379165649414,0.21991927027702332,1.0837037134170533
iz142,,10.499999999999991,0.9588658213615417,0.4549620425701142,1.178964319229126
iz142,,10.69999999999999,0.7976272702217102,-0.7635271072387696,1.168621802330017
iz142,,10.89999999999999,0.32400456070899963,-2.1749617004394532,1.1315803146362304
iz142,,11.099999999999989,nan,nan,nan
iz142,,11.299999999999988,nan,nan,nan
iz142,,11.499999999999988,nan,nan,nan
iz142,,11.699999999999987,nan,nan,nan
iz142,,11.899999999999986,nan,nan,nan
iz142,,12.099999999999985,nan,nan,nan
iz142,,12.299999999999985,nan,nan,nan
iz155,,8.1,-1.1320631504058838,-4.045900554656982,-0.9135271620750427
iz155,,8.299999999999999,-0.9404841661453247,-3.82771445274353,-0.7048251605033875
iz155,,8.499999999999998,-0.755382239818573,-3.75781286239624,-0.5001752376556396
iz155,,8.699999999999998,-0.6003038287162781,-3.8245974922180177,-0.2999168789386749
iz155,,8.899999999999997,-0.44001275300979614,-3.773005723953247,-0.09177014082670215
iz155,,9.099999999999996,-0.4158640503883362,-3.638571310043335,0.06583568751811966
iz155,,9.299999999999995,-0.3610353171825409,-3.3017225360870364,0.23084248065948487
iz155,,9.499999999999995,-0.5294298529624939,-2.964657049179077,0.41101799607276895
iz155,,9.699999999999994,-0.3999696969985962,-2.465139141082764,0.5841793489456175
iz155,,9.899999999999993,-0.1386406123638153,-1.8454851627349853,0.7703539514541626
iz155,,10.099999999999993,0.15491583943367004,-1.2827573680877686,0.8877650284767151
iz155,,10.299999999999992,0.5205638408660889,-0.46396400690078726,0.9622446799278259
iz155,,10.499999999999991,0.7584646940231323,0.11491686135530475,1.0522448444366455
iz155,,10.69999999999999,0.8516221046447754,-1.3811228895187382,1.1274728727340697
iz155,,10.89999999999999,-1.4369291067123413,-3.3303967761993407,1.1176039743423463
iz155,,11.099999999999989,-4.397314548492432,-4.397314548492432,-4.397314548492432
iz155,,11.299999999999988,nan,nan,nan
iz155,,11.499999999999988,nan,nan,nan
iz155,,11.699999999999987,nan,nan,nan
iz155,,11.899999999999986,nan,nan,nan
iz155,,12.099999999999985,nan,nan,nan
iz155,,12.299999999999985,nan,nan,nan
iz176,,8.1,-1.3609379529953003,-4.5882514953613285,-1.1180273962020875
iz176,,8.299999999999999,-1.1400526762008667,-4.401552658081055,-0.9089075827598572
iz176,,8.499999999999998,-0.9471736550331116,-4.212003765106201,-0.7035844373703003
iz176,,8.699999999999998,-0.7669865489006042,-4.268592987060547,-0.5010295057296752
iz176,,8.899999999999997,-0.658104419708252,-4.231172122955322,-0.3019254553318024
iz176,,9.099999999999996,-0.6282798647880554,-4.093567390441894,-0.12043269455432902
iz176,,9.299999999999995,-1.2519177198410034,-3.9164862728118894,0.06637882560491558
iz176,,9.499999999999995,-1.2732751369476318,-3.6717423820495605,0.2377548420429229
iz176,,9.699999999999994,-1.705885887145996,-3.321502819061279,0.35957623600959776
iz176,,9.899999999999993,-1.328791856765747,-2.8812431144714354,0.5779232668876647
iz176,,10.099999999999993,-0.5312255024909973,-2.2170574283599853,0.7670307064056396
iz176,,10.299999999999992,-0.10792778432369232,-1.458799123764038,0.8472797870635986
iz176,,10.499999999999991,0.36452338099479675,-0.688874328136444,0.9158733010292054
iz176,,10.69999999999999,0.6373438239097595,-0.9071228647232056,0.9862711334228516
iz176,,10.89999999999999,0.3266577124595642,-2.261321840286255,0.9945775556564331
iz176,,11.099999999999989,-1.0889346599578857,-2.482897472381592,0.9828171062469483
iz176,,11.299999999999988,nan,nan,nan
iz176,,11.499999999999988,nan,nan,nan
iz176,,11.699999999999987,nan,nan,nan
iz176,,11.899999999999986,nan,nan,nan
iz176,,12.099999999999985,nan,nan,nan
iz176,,12.299999999999985,nan,nan,nan
iz207,,8.1,-1.6887280941009521,-5.217502117156982,-1.3779865980148316
iz207,,8.299999999999999,-1.456561803817749,-5.029666500091553,-1.165800895690918
iz207,,8.499999999999998,-1.2473691701889038,-4.808064422607422,-0.958783540725708
iz207,,8.699999999999998,-1.0439130067825317,-4.727613296508789,-0.7592567443847656
iz207,,8.899999999999997,-0.8606184720993042,-4.5421952056884765,-0.5517507386207582
iz207,,9.099999999999996,-0.7850556373596191,-4.551471576690674,-0.36478318691253664
iz207,,9.299999999999995,-1.6400179862976074,-4.440712051391602,-0.1753988093137741
iz207,,9.499999999999995,-2.153078556060791,-4.297545986175537,0.0031834553834050473
iz207,,9.699999999999994,-2.3483076095581055,-4.018645648956299,0.19700826406478886
iz207,,9.899999999999993,-2.344287395477295,-3.737057867050171,0.37308616638183606
iz207,,10.099999999999993,-2.141218662261963,-3.2778142261505128,0.45144549489021285
iz207,,10.299999999999992,-1.4914729595184326,-2.5949297332763672,0.6145913004875181
iz207,,10.499999999999991,-0.45894908905029297,-1.979411277770996,0.6982297396659851
iz207,,10.69999999999999,0.11241231858730316,-1.3925199031829834,0.6679492473602295
iz207,,10.89999999999999,0.16181907057762146,-2.5087458515167236,0.6976257491111755
iz207,,11.099999999999989,-1.8784931898117065,-3.366949977874756,-0.6987426710128778
iz207,,11.299999999999988,-1.0928493738174438,-2.172156963348389,-0.765078456401825
iz207,,11.499999999999988,nan,nan,nan
iz207,,11.699999999999987,nan,nan,nan
iz207,,11.899999999999986,nan,nan,nan
iz207,,12.099999999999985,nan,nan,nan
iz207,,12.299999999999985,nan,nan,nan
